Game Date,Away Team,Home Team,Total
2025-04-19,Miami Marlins,Philadelphia Phillies,10.0
2025-04-19,Kansas City Royals,Detroit Tigers,8.0
2025-04-19,Arizona Diamondbacks,Chicago Cubs,7.5
2025-04-19,Seattle Mariners,Toronto Blue Jays,8.0
2025-04-19,Cincinnati Reds,Baltimore Orioles,9.0
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,8.0
2025-04-19,Los Angeles Dodgers,Texas Rangers,8.5
2025-04-19,St. Louis Cardinals,New York Mets,8.5
2025-04-19,Chicago White Sox,Boston Red Sox,9.0
2025-04-19,New York Yankees,Tampa Bay Rays,9.5
2025-04-19,Washington Nationals,Colorado Rockies,9.0
2025-04-19,San Diego Padres,Houston Astros,8.0
2025-04-19,Oakland Athletics,Milwaukee Brewers,8.5
2025-04-19,Minnesota Twins,Atlanta Braves,7.5
2025-04-19,San Francisco Giants,Los Angeles Angels,8.5
